"","STN_NAME","param","date","value","SMPL_COLL_DT","n_reps","monitoring_program","rep","f_pon","SMPL_COLL_DT_est","offset","sample_dt","sample_date","tide_dt_High","tide_dt_Low","hours_since_High","hours_since_low","v_High","v_Low","tide_change","n_unique_tides","same_tide_cycle"
"1","gtmfmnut","Chl-a Corrected",2003-01-22,0.55,2003-01-22 16:40:00,2,1,1,"<-1>","2003-01-22 16:40:00","1H 0M 0S","2003-01-22 16:40:00","2003-01-22","2003-01-22 12:23:00","2003-01-22 06:02:00",4.28333333333333,10.6333333333333,1.418,-0.098,"Falling",1,TRUE
"2","gtmfmnut","Chl-a Corrected",2003-02-26,1.2,2003-02-26 09:16:00,2,1,1,"<-1>","2003-02-26 09:16:00","1H 0M 0S","2003-02-26 09:16:00","2003-02-26","2003-02-26 05:49:00","2003-02-25 23:03:00",3.45,10.2166666666667,1.405,0.025,"Falling",1,TRUE
"3","gtmfmnut","Chl-a Corrected",2003-03-26,1.5,2003-03-26 08:30:00,2,1,1,"<-1>","2003-03-26 08:30:00","1H 0M 0S","2003-03-26 08:30:00","2003-03-26","2003-03-26 04:22:00","2003-03-25 21:46:00",4.13333333333333,10.7333333333333,1.359,0.09,"Falling",1,TRUE
"4","gtmfmnut","Chl-a Corrected",2003-04-29,5.05,2003-04-29 11:16:00,2,1,1,"<-1>","2003-04-29 10:16:00","1H 0M 0S","2003-04-29 11:16:00","2003-04-29","2003-04-29 09:03:00","2003-04-29 02:59:00",2.21666666666667,8.28333333333333,1.156,0.004,"Falling",1,TRUE
"5","gtmfmnut","Chl-a Corrected",2003-05-27,3.15,2003-05-27 12:00:00,2,1,1,"<-1>","2003-05-27 11:00:00","1H 0M 0S","2003-05-27 12:00:00","2003-05-27","2003-05-27 07:47:00","2003-05-27 01:45:00",4.21666666666667,10.25,1.029,0.058,"Falling",1,TRUE
"6","gtmfmnut","Chl-a Corrected",2003-06-25,3.45,2003-06-25 09:45:00,2,1,1,"<-1>","2003-06-25 08:45:00","1H 0M 0S","2003-06-25 09:45:00","2003-06-25","2003-06-25 07:06:00","2003-06-25 01:09:00",2.65,8.6,0.962,0.135,"Falling",1,TRUE
"7","gtmfmnut","Chl-a Corrected",2003-07-29,2.5,2003-07-29 12:37:00,2,1,1,"<-1>","2003-07-29 11:37:00","1H 0M 0S","2003-07-29 12:37:00","2003-07-29","2003-07-29 10:26:00","2003-07-29 04:27:00",2.18333333333333,8.16666666666667,1.086,0.01,"Falling",1,TRUE
"8","gtmfmnut","Chl-a Corrected",2003-08-26,2.4,2003-08-26 10:53:00,2,1,1,"<-1>","2003-08-26 09:53:00","1H 0M 0S","2003-08-26 10:53:00","2003-08-26","2003-08-26 09:09:00","2003-08-26 03:10:00",1.73333333333333,7.71666666666667,1.258,0.148,"Falling",1,TRUE
"9","gtmfmnut","Chl-a Corrected",2003-09-24,3.85,2003-09-24 09:08:00,2,1,1,"<-1>","2003-09-24 08:08:00","1H 0M 0S","2003-09-24 09:08:00","2003-09-24","2003-09-24 08:41:00","2003-09-24 02:33:00",0.45,6.58333333333333,1.462,0.18,"Falling",1,TRUE
"10","gtmfmnut","Chl-a Corrected",2003-10-23,2.85,2003-10-23 11:08:00,2,1,1,"<-1>","2003-10-23 10:08:00","1H 0M 0S","2003-10-23 11:08:00","2003-10-23","2003-10-23 08:13:00","2003-10-23 01:56:00",2.91666666666667,9.2,1.579,0.11,"Falling",1,TRUE
"11","gtmfmnut","Chl-a Corrected",2003-11-24,2.85,2003-11-24 10:33:00,2,1,1,"<-1>","2003-11-24 10:33:00","1H 0M 0S","2003-11-24 10:33:00","2003-11-24","2003-11-24 09:24:00","2003-11-24 02:51:00",1.15,7.7,1.862,-0.144,"Falling",1,TRUE
"12","gtmfmnut","Chl-a Corrected",2003-12-11,1.25,2003-12-11 12:15:00,2,1,1,"<-1>","2003-12-11 12:15:00","1H 0M 0S","2003-12-11 12:15:00","2003-12-11","2003-12-11 10:58:00","2003-12-11 04:24:00",1.28333333333333,7.85,1.439,0.088,"Falling",1,TRUE
"13","gtmfmnut","Chl-a Corrected",2004-01-07,1.05,2004-01-07 09:15:00,2,1,1,"<-1>","2004-01-07 09:15:00","1H 0M 0S","2004-01-07 09:15:00","2004-01-07","2004-01-07 09:13:00","2004-01-07 02:42:00",0.0333333333333333,6.55,1.366,-0.052,"Falling",1,TRUE
"14","gtmfmnut","Chl-a Corrected",2004-02-04,1.1,2004-02-04 12:32:00,2,1,1,"<-1>","2004-02-04 12:32:00","1H 0M 0S","2004-02-04 12:32:00","2004-02-04","2004-02-04 08:05:00","2004-02-04 01:35:00",4.45,10.95,1.295,-0.061,"Falling",1,TRUE
"15","gtmfmnut","Chl-a Corrected",2004-03-17,1.5,2004-03-17 12:45:00,2,1,1,"<-1>","2004-03-17 12:45:00","1H 0M 0S","2004-03-17 12:45:00","2004-03-17","2004-03-17 06:42:00","2004-03-17 00:05:00",6.05,12.6666666666667,1.41,-0.054,"Falling",1,TRUE
"16","gtmfmnut","Chl-a Corrected",2004-04-15,2.95,2004-04-15 09:49:00,2,1,1,"<-1>","2004-04-15 08:49:00","1H 0M 0S","2004-04-15 09:49:00","2004-04-15","2004-04-15 07:21:00","2004-04-15 00:53:00",2.46666666666667,8.93333333333333,1.305,-0.014,"Falling",1,TRUE
"17","gtmfmnut","Chl-a Corrected",2004-05-05,3.95,2004-05-05 12:25:00,2,1,1,"<-1>","2004-05-05 11:25:00","1H 0M 0S","2004-05-05 12:25:00","2004-05-05","2004-05-05 10:41:00","2004-05-05 04:38:00",1.73333333333333,7.78333333333333,1.231,-0.233,"Falling",1,TRUE
"18","gtmfmnut","Chl-a Corrected",2004-06-01,4.4,2004-06-01 12:25:00,2,1,1,"<-1>","2004-06-01 11:25:00","1H 0M 0S","2004-06-01 12:25:00","2004-06-01","2004-06-01 08:31:00","2004-06-01 02:32:00",3.9,9.88333333333333,1.11,-0.189,"Falling",1,TRUE
"19","gtmfmnut","Chl-a Corrected",2004-07-13,3.45,2004-07-13 11:35:00,2,1,1,"<-1>","2004-07-13 10:35:00","1H 0M 0S","2004-07-13 11:35:00","2004-07-13","2004-07-13 07:20:00","2004-07-13 01:28:00",4.25,10.1166666666667,1.012,0.199,"Falling",1,TRUE
"20","gtmfmnut","Chl-a Corrected",2004-08-16,2.8,2004-08-16 13:35:00,2,1,1,"<-1>","2004-08-16 12:35:00","1H 0M 0S","2004-08-16 13:35:00","2004-08-16","2004-08-16 10:35:00","2004-08-16 04:31:00",3,9.06666666666667,1.221,0.125,"Falling",1,TRUE
"21","gtmfmnut","Chl-a Corrected",2004-09-13,3.1,2004-09-13 12:10:00,2,1,1,"<-1>","2004-09-13 11:10:00","1H 0M 0S","2004-09-13 12:10:00","2004-09-13","2004-09-13 09:19:00","2004-09-13 03:14:00",2.85,8.93333333333333,1.383,0.227,"Falling",1,TRUE
"22","gtmfmnut","Chl-a Corrected",2004-10-25,2.9,2004-10-25 12:35:00,2,1,1,"<-1>","2004-10-25 11:35:00","1H 0M 0S","2004-10-25 12:35:00","2004-10-25","2004-10-25 08:06:00","2004-10-25 01:49:00",4.48333333333333,10.7666666666667,1.643,0.188,"Falling",1,TRUE
"23","gtmfmnut","Chl-a Corrected",2004-11-01,2.5,2004-11-01 14:25:00,2,1,1,"<-1>","2004-11-01 14:25:00","1H 0M 0S","2004-11-01 14:25:00","2004-11-01","2004-11-01 11:59:00","2004-11-01 05:30:00",2.43333333333333,8.91666666666667,1.616,0.375,"Falling",1,TRUE
"24","gtmfmnut","Chl-a Corrected",2004-12-08,2,2004-12-08 10:30:00,2,1,1,"<-1>","2004-12-08 10:30:00","1H 0M 0S","2004-12-08 10:30:00","2004-12-08","2004-12-08 05:58:00","2004-12-07 23:23:00",4.53333333333333,11.1166666666667,1.387,0.012,"Falling",1,TRUE
"25","gtmfmnut","Chl-a Corrected",2005-01-10,NA,2005-01-10 12:30:00,2,1,1,"<-1>","2005-01-10 12:30:00","1H 0M 0S","2005-01-10 12:30:00","2005-01-10","2005-01-10 09:08:00","2005-01-10 02:32:00",3.36666666666667,9.96666666666667,1.643,-0.314,"Falling",1,TRUE
"26","gtmfmnut","Chl-a Corrected",2005-02-07,0.825,2005-02-07 13:45:00,2,1,1,"<-1>","2005-02-07 13:45:00","1H 0M 0S","2005-02-07 13:45:00","2005-02-07","2005-02-07 07:59:00","2005-02-07 01:23:00",5.76666666666667,12.3666666666667,1.552,-0.276,"Falling",1,TRUE
"27","gtmfmnut","Chl-a Corrected",2005-03-07,0.575,2005-03-07 10:45:00,2,1,1,"<-1>","2005-03-07 10:45:00","1H 0M 0S","2005-03-07 10:45:00","2005-03-07","2005-03-07 06:49:00","2005-03-07 00:11:00",3.93333333333333,10.5666666666667,1.449,-0.152,"Falling",1,TRUE
"28","gtmfmnut","Chl-a Corrected",2005-04-05,3.5,2005-04-05 13:38:00,2,1,1,"<-1>","2005-04-05 12:38:00","1H 0M 0S","2005-04-05 13:38:00","2005-04-05","2005-04-05 07:31:00","2005-04-05 01:01:00",6.11666666666667,12.6166666666667,1.375,-0.109,"Falling",1,TRUE
"29","gtmfmnut","Chl-a Corrected",2005-05-04,2.45,2005-05-04 10:30:00,2,1,1,"<-1>","2005-05-04 09:30:00","1H 0M 0S","2005-05-04 10:30:00","2005-05-04","2005-05-04 07:09:00","2005-05-04 00:48:00",3.35,9.7,1.257,-0.079,"Falling",1,TRUE
"30","gtmfmnut","Chl-a Corrected",2005-06-21,3.85,2005-06-21 10:50:00,2,1,1,"<-1>","2005-06-21 09:50:00","1H 0M 0S","2005-06-21 10:50:00","2005-06-21","2005-06-21 09:25:00","2005-06-21 03:32:00",1.41666666666667,7.3,1.022,-0.164,"Falling",1,TRUE
"31","gtmfmnut","Chl-a Corrected",2005-07-07,3.9,2005-07-07 12:45:00,2,1,1,"<-1>","2005-07-07 11:45:00","1H 0M 0S","2005-07-07 12:45:00","2005-07-07","2005-07-07 10:58:00","2005-07-07 05:03:00",1.78333333333333,7.7,0.991,0.031,"Falling",1,TRUE
"32","gtmfmnut","Chl-a Corrected",2005-08-03,2.7,2005-08-03 12:20:00,2,1,1,"<-1>","2005-08-03 11:20:00","1H 0M 0S","2005-08-03 12:20:00","2005-08-03","2005-08-03 09:03:00","2005-08-03 03:14:00",3.28333333333333,9.1,1.101,0.193,"Falling",1,TRUE
"33","gtmfmnut","Chl-a Corrected",2005-09-19,2.7,2005-09-19 14:55:00,2,1,1,"<-1>","2005-09-19 13:55:00","1H 0M 0S","2005-09-19 14:55:00","2005-09-19","2005-09-19 11:09:00","2005-09-19 04:49:00",3.76666666666667,10.1,1.855,0.059,"Falling",1,TRUE
